2015-10-14 18:58:53.4472|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
GitHub.IO.ProcessException: fatal: pathspec 'addons_Ero/addons.xml' did not match any files
2015-10-14 18:54:28.2209|INFO|thread:17|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 32 at GitClient.cs:496 after waiting 5.83E-05s
2015-10-14 18:54:28.2209|INFO|thread: 4|AsyncReaderWriterLock|Released concurrent scheduler for operation: 29 at GitClient.cs:496 after blocking 0.2684957s
2015-10-14 18:54:28.2209|INFO|thread: 4|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 33 at GitClient.cs:496
2015-10-14 18:54:28.2209|INFO|thread: 4|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 33 at GitClient.cs:496 after waiting 6.97E-05s
2015-10-14 18:54:28.2369|INFO|thread: 5|AsyncReaderWriterLock|Released concurrent scheduler for operation: 28 at GitClient.cs:496 after blocking 0.277607s
2015-10-14 18:54:28.2369|INFO|thread: 5|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 34 at GitClient.cs:496
2015-10-14 18:54:28.2369|INFO|thread: 5|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 34 at GitClient.cs:496 after waiting 6.65E-05s
2015-10-14 18:54:28.2864|INFO|thread: 9|AsyncReaderWriterLock|Released concurrent scheduler for operation: 31 at GitClient.cs:496 after blocking 0.1447777s
2015-10-14 18:54:28.2864|INFO|thread: 9|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 35 at GitClient.cs:496
2015-10-14 18:54:28.2864|INFO|thread: 9|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 35 at GitClient.cs:496 after waiting 5.48E-05s
2015-10-14 18:54:28.3345|INFO|thread:17|AsyncReaderWriterLock|Released concurrent scheduler for operation: 32 at GitClient.cs:496 after blocking 0.1273149s
2015-10-14 18:54:28.3345|INFO|thread:17|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 36 at GitClient.cs:496
2015-10-14 18:54:28.3345|INFO|thread:17|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 36 at GitClient.cs:496 after waiting 3.96E-05s
2015-10-14 18:54:28.4604|INFO|thread: 9|AsyncReaderWriterLock|Released concurrent scheduler for operation: 35 at GitClient.cs:496 after blocking 0.1759676s
2015-10-14 18:54:28.4604|INFO|thread: 9|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 37 at GitClient.cs:496
2015-10-14 18:54:28.4604|INFO|thread: 9|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 37 at GitClient.cs:496 after waiting 0.0001415s
2015-10-14 18:54:28.4895|INFO|thread:17|AsyncReaderWriterLock|Released concurrent scheduler for operation: 36 at GitClient.cs:496 after blocking 0.1413719s
2015-10-14 18:54:28.4895|INFO|thread:17|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 38 at GitClient.cs:496
2015-10-14 18:54:28.4895|INFO|thread:17|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 38 at GitClient.cs:496 after waiting 0.0001291s
2015-10-14 18:54:28.4895|INFO|thread:17|AsyncReaderWriterLock|Released concurrent scheduler for operation: 38 at GitClient.cs:496 after blocking 0.0108405s
2015-10-14 18:54:28.4895|INFO|thread:17|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 39 at GitClient.cs:496
2015-10-14 18:54:28.4895|INFO|thread:17|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 39 at GitClient.cs:496 after waiting 5.37E-05s
2015-10-14 18:54:28.5122|INFO|thread:17|AsyncReaderWriterLock|Released concurrent scheduler for operation: 39 at GitClient.cs:496 after blocking 0.0087198s
2015-10-14 18:54:28.5122|INFO|thread:17|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 40 at GitClient.cs:496
2015-10-14 18:54:28.5122|INFO|thread:17|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 40 at GitClient.cs:496 after waiting 3.78E-05s
2015-10-14 18:54:28.5122|INFO|thread: 4|AsyncReaderWriterLock|Released concurrent scheduler for operation: 33 at GitClient.cs:496 after blocking 0.2926355s
